prcp(mm/day),tmean(C),pet(mm),flow(mm)
17.16,6.815,0.687782786,6.418713023
0,5.05,0.641754432,5.134970419
3.4,6.58,0.680981265,3.325103796
0,2.895,0.624178251,2.567485209
0,2.335,0.620796713,2.098182585
10.38,10.06,0.788813396,2.011898246
0,11.285,0.84576258,1.974017317
12.65,10.8,0.798132904,2.357035602
4.87,2.06,0.605037099,2.777934817
0,2.86,0.637390405,2.29390072
26.62,6.81,0.739652009,2.925249542
54.87,9.825,0.784337843,20.51883671
34.11,5.485,0.724145096,34.72418521
25.78,3.58,0.658726735,12.69011132
29.85,4.605,0.651665501,14.85774228
0,2.935,0.710695587,7.449916099
0,2.18,0.722343167,4.503621597
0,5.175,0.792224852,3.367193717
0,6.78,0.846901837,4.082722382
0,6.09,0.867522561,4.840340968
0,1.405,0.752735465,4.31421695
0,2.13,0.7897398,3.935407657
0,4.865,0.863458294,3.640778207
0,8.215,0.978805814,3.388238678
0,11.06,1.105766207,3.198834031
0,12.47,1.174924252,3.093609228
14.61,5.045,0.875650738,3.15674411
0,3.825,0.940854252,3.135699149
10.51,6.33,0.962715291,3.304058835
13.65,9.415,0.958009464,3.851227814
0,7.945,1.133079512,3.914362696
0,12.27,1.303194205,3.872272775
0,17.205,1.431029824,3.682868128
9.49,11.435,1.175645263,3.661823167
6.66,-0.46,0.689158701,3.72495805
6.36,-2.38,0.534583068,3.682868128
5.45,-4.875,0.584196343,3.556598364
5.88,-6.425,0.563418607,3.45137356
0,-3.73,0.879815302,3.325103796
0,-4.35,0.933121885,3.15674411
0,-4.515,0.938622648,3.030474345
0,1.11,1.205868118,2.925249542
0,4.04,1.356802154,2.841069699
6.67,8.25,1.317313469,2.777934817
33.37,14.22,1.414577335,9.133512958
28.53,13.315,1.421898321,13.30041518
10.89,10.93,1.360413184,16.62551898
14.29,3.04,0.770188033,12.14294234
20.92,1.045,0.680916061,12.14294234
2,1.85,0.903189902,15.72058567
18.12,6.065,1.039767147,13.59504463
54.01,8.845,1.216614497,23.1494568
2.53,2.74,1.189380244,18.09866623
16.1,-4.23,0.969619192,6.018858769
0,-5.475,1.14550288,3.956452618
0,-1.31,1.493277815,3.009429385
0,5.115,1.888554416,2.483305366
21.17,6.725,1.609950701,2.525395288
13.86,1.405,1.124508968,4.377351832
0,4.05,1.785696983,4.124812303
0,5.07,1.997316063,3.15674411
0,7.68,2.218446135,2.630620091
0,11.33,1.95655171,2.31494568
74.88,10.58,1.854978828,10.24889588
23.9,2.475,1.175333544,25.25395288
0,-1.385,0.758692281,9.133512958
0,-0.48,1.403441235,4.819296008
0,3.7,1.968577091,3.493463481
0,6.835,2.281487665,2.777934817
0,10.905,2.558805263,2.378080563
0,13.915,2.79549806,2.089764601
0,15.02,2.900775772,1.877210497
0,16.78,2.963521007,1.706746315
0,18.325,2.98479228,1.567849575
0,9.445,2.665127722,1.426848338
0,11.31,2.820506094,1.304787565
2.59,15.31,2.855008334,1.250070667
0.72,6.88,2.513345089,1.21639873
13.87,10.54,2.231241372,1.207980746
17.77,12.045,2.385225047,1.271115628
0,3.01,1.726572627,1.256384156
0,6.96,2.066794648,1.180622297
1.06,8.955,1.789023644,1.191144777
0,12.27,2.737455806,1.201667258
0,13.81,3.241078096,1.167995321
0,15.635,3.398648402,1.144845864
0,19.545,3.490297536,1.085919974
18.78,20.535,2.651329694,1.045934548
7.57,18.735,2.359371456,1.041725556
17.67,12.935,2.610966197,1.241652683
0,4.93,2.608150066,1.38265392
0,10.475,3.088093357,1.262697644
26.7,16.205,2.517972438,2.378080563
47.32,16.87,2.516124752,10.50143541
16.71,10.865,2.660302609,16.54133914
6.22,6.555,2.454832733,6.566027748
14.15,7.27,2.05642672,4.987655693
5.84,9.82,1.949142293,4.714071204
0.5,7.515,2.792346416,3.661823167
0,5.42,2.121989665,2.798979777
0,2.2,2.688500856,2.29390072
0,4.62,2.979934685,2.030838711
0,8.025,3.403710204,1.84353856
0,8.95,3.478682957,1.692014843
5.41,11.085,2.391685734,1.620461976
0,9.745,3.585469528,1.511028181
0,14.645,4.126236254,1.384758416
0,18.455,4.450967076,1.279533612
6.86,17.405,3.376758228,1.231130203
0,11.51,3.803469604,1.193249273
0,13.07,4.131176488,1.134323383
0,16.74,4.427733656,1.094337958
0,18.625,4.598794645,1.073292997
0,20.62,4.57077199,1.058561525
0,21.285,4.57792569,1.005949123
0,21.64,4.54441846,0.940709745
0,22.705,4.649510766,0.913351296
0,22.245,4.564717185,0.883888351
0,22.085,4.406030665,0.860738894
0,19.74,3.638035607,0.839693933
8.37,18.595,3.053728311,0.87336587
0,13.145,3.59825822,0.923873776
0,13.335,3.279496776,0.856529902
0,13.27,3.161929988,0.835484941
18.71,15.91,2.074524571,0.999635635
14.3,14.8,2.988428579,1.241652683
0,8.915,3.718719272,1.14695036
0,11.27,4.107134265,1.056457029
6.26,15.495,3.205506159,1.037516564
8.19,16.19,2.797807444,1.056457029
