,time,pet,prec,prob,pn,ps,evap,perc,pr,q9,q1,rout,exch,aexch1,aexch2,qr,qd,qsim,qobs
1,1990/1/1,0.3,0,235.9667195,0,0,0.279675952,0.684557147,0.684557147,1.287989557,0.177967848,45.46972289,0.565239243,0.565239243,0.565239243,2.339703949,0.743207091,3.08291104,1.992
2,1990/1/2,0.4,9.3,239.2147372,8.9,3.98130338,0.4,0.733285667,5.651982287,2.578724164,0.193185311,46.0748721,0.544572942,0.544572942,0.544572942,2.518147897,0.737758253,3.25590615,1.8
3,1990/1/3,0.4,3.2,239.7022077,2.8,1.228304717,0.4,0.74083417,2.312529453,3.767370764,0.433310655,47.44397923,0.570364474,0.570364474,0.570364474,2.968628107,1.003675129,3.972303237,2.856
4,1990/1/4,0.3,7.3,241.9506898,7,3.024949583,0.3,0.776467478,4.751517895,3.044917386,0.324174899,47.96284481,0.631919646,0.631919646,0.631919646,3.157971452,0.956094545,4.114065997,2.4
5,1990/1/5,0.1,0,241.0939282,0,0,0.094031223,0.762730418,0.762730418,2.700401621,0.358832311,48.10710716,0.656440327,0.656440327,0.656440327,3.212579599,1.015272639,4.227852237,3.312
6,1990/1/6,0.1,0,240.2506272,0,0,0.093899739,0.749401224,0.749401224,0.681191012,0.123025164,46.72732434,0.663376878,0.663376878,0.663376878,2.724350714,0.786402043,3.510752757,3.072
7,1990/1/7,0.1,0,239.4203956,0,0,0.093768922,0.736462698,0.736462698,0.66934909,0.074813348,45.61449333,0.599137055,0.599137055,0.599137055,2.381317149,0.673950403,3.055267552,2.616
8,1990/1/8,0.2,0,238.5106406,0,0,0.187262792,0.722492267,0.722492267,0.657296713,0.073492237,44.69460709,0.550665637,0.550665637,0.550665637,2.127848595,0.624157874,2.752006469,2.184
9,1990/1/9,0.2,0.1,237.7068189,0,0,0.193494622,0.710327071,0.710327071,0.645436571,0.072146989,43.91947046,0.512768002,0.512768002,0.512768002,1.933341194,0.584914991,2.518256185,2.184
10,1990/1/10,0.3,0.2,236.9149482,0,0,0.293365908,0.698504713,0.698504713,0.63462335,0.070916703,43.25667073,0.482311721,0.482311721,0.482311721,1.779734808,0.553228424,2.332963232,2.184
11,1990/1/11,0.3,2.9,237.3783299,2.6,1.16878509,0.3,0.705403428,2.136618337,1.196850913,0.101556415,43.15392001,0.457313266,0.457313266,0.457313266,1.756914901,0.558869681,2.315784582,1.716
12,1990/1/12,0.2,0.2,236.6832541,0,0,0.2,0.695075756,0.695075756,1.353404989,0.165058685,43.19486932,0.453522529,0.453522529,0.453522529,1.7659782,0.618581213,2.384559414,1.8
13,1990/1/13,0.2,0,235.8145293,0,0,0.186385175,0.682339626,0.682339626,0.620536137,0.086229921,42.62662199,0.455030553,0.455030553,0.455030553,1.643814023,0.541260474,2.185074497,1.62
14,1990/1/14,0.2,0,234.9584552,0,0,0.186100522,0.669973591,0.669973591,0.609219844,0.068112758,42.12755579,0.434421384,0.434421384,0.434421384,1.542707429,0.502534142,2.045241571,1.428
15,1990/1/15,0.2,0,234.1146756,0,0,0.185817134,0.657962481,0.657962481,0.598230643,0.06687958,41.68502176,0.416878888,0.416878888,0.416878888,1.457643561,0.483758468,1.941402028,1.236
16,1990/1/16,0.3,3.3,234.8323206,3,1.385811916,0.3,0.668166935,2.282355019,1.233961444,0.101593225,41.83477575,0.401752046,0.401752046,0.401752046,1.485959495,0.503345271,1.989304766,1.236
17,1990/1/17,0.3,4.6,236.112026,4.3,1.966385158,0.3,0.686679784,3.020294626,2.345678373,0.225274818,42.88818984,0.40682632,0.40682632,0.40682632,1.699090611,0.632101137,2.331191748,1.236
18,1990/1/18,0.2,0.8,235.7044791,0.6,0.273192799,0.2,0.680739722,1.007546923,1.92303128,0.249146437,43.43506714,0.44382319,0.44382319,0.44382319,1.819977162,0.692969627,2.512946789,1.236
19,1990/1/19,0.2,1.8,235.7528687,1.6,0.729832476,0.2,0.681442835,1.551610358,1.121750911,0.13643568,43.24388537,0.463948445,0.463948445,0.463948445,1.776881132,0.600384125,2.377265257,1.236
20,1990/1/20,0.3,1.1,235.4413529,0.8,0.365410869,0.3,0.676926663,1.111515794,1.222568537,0.139084219,43.16412462,0.456840353,0.456840353,0.456840353,1.759169638,0.595924573,2.35509421,1.1064
21,1990/1/21,0.2,0,234.590659,0,0,0.18597734,0.664716525,0.664716525,0.823834419,0.106534971,42.76830163,0.453897996,0.453897996,0.453897996,1.673555401,0.560432966,2.233988367,0.9816
22,1990/1/22,0.2,5,236.1019222,4.8,2.197795139,0.2,0.686532016,3.288736877,1.634991639,0.129338381,43.09815165,0.439496072,0.439496072,0.439496072,1.744637696,0.568834453,2.313472149,0.8688
23,1990/1/23,0.3,13.1,241.0072019,12.8,5.666630649,0.3,0.761350871,7.894720222,4.77968071,0.39902647,45.87223985,0.451474515,0.451474515,0.451474515,2.457067028,0.850500985,3.307568013,0.9816
24,1990/1/24,0.6,14.6,246.0298502,14,5.867284684,0.6,0.844636437,8.977351752,7.53299422,0.758911865,49.96603332,0.561633229,0.561633229,0.561633229,4.000833972,1.320545095,5.321379067,2.856
25,1990/1/25,0.4,4,246.6354373,3.6,1.460742721,0.4,0.855155617,2.994412895,5.715765561,0.753641504,51.59668242,0.757512911,0.757512911,0.757512911,4.842629381,1.511154415,6.353783796,4.992
26,1990/1/26,0.4,0.8,245.9544958,0.4,0.162393412,0.4,0.843334853,1.080941442,1.938961631,0.32800496,50.24788541,0.847625876,0.847625876,0.847625876,4.135384514,1.175630836,5.311015349,4.704
27,1990/1/27,0.4,0.1,244.846278,0,0,0.3838389,0.824378939,0.824378939,0.871479785,0.125030565,48.51867093,0.772574284,0.772574284,0.772574284,3.373268545,0.897604848,4.270873394,4.056
28,1990/1/28,0.5,3.3,245.1705148,2.8,1.154125784,0.5,0.829889019,2.475763236,1.394400659,0.121711638,47.57949137,0.68345373,0.68345373,0.68345373,3.017033948,0.805165368,3.822199316,3.816
29,1990/1/29,0.4,7.7,247.2697772,7.3,2.965549812,0.4,0.866287345,5.200737533,3.304820399,0.287912566,48.25362642,0.638259468,0.638259468,0.638259468,3.268944815,0.926172034,4.195116849,3.072
30,1990/1/30,0.3,10.3,250.2858404,10,3.93688993,0.3,0.920826727,6.983936796,5.385203199,0.527075998,50.19803275,0.670475379,0.670475379,0.670475379,4.111272254,1.197551377,5.308823631,2.856
31,1990/1/31,0.3,3.7,250.6684542,3.4,1.310552951,0.3,0.927939154,3.017386204,4.718364341,0.590296881,51.11100645,0.769894867,0.769894867,0.769894867,4.575285509,1.360191749,5.935477258,2.616
32,1990/2/1,0.5,15.3,255.1742207,14.8,5.520853278,0.5,1.01508681,10.29423353,5.590719746,0.508247382,52.27787613,0.820027653,0.820027653,0.820027653,5.243877722,1.328275035,6.572152757,3.816
33,1990/2/2,0.5,3.2,255.1375811,2.7,0.977712841,0.5,1.014352439,2.736639598,6.278815106,0.777710138,53.43818387,0.887443589,0.887443589,0.887443589,6.005950948,1.665153727,7.671104676,6.552
34,1990/2/3,0.3,2.7,254.9962218,2.4,0.870163828,0.3,1.011523183,2.541359355,2.385820621,0.358513643,51.81470963,0.95831635,0.95831635,0.95831635,4.967611212,1.316829993,6.284441205,5.808
35,1990/2/4,0.3,2.2,254.6820347,1.9,0.691070644,0.3,1.005257672,2.214187028,2.157958028,0.249257767,50.54895637,0.860228295,0.860228295,0.860228295,4.283939583,1.109486062,5.393425645,4.992
36,1990/2/5,0.4,8,256.3795947,7.6,2.737046854,0.4,1.039486874,5.90244002,3.449991887,0.30623439,50.51894416,0.788897647,0.788897647,0.788897647,4.268901744,1.095132037,5.364033782,4.704
37,1990/2/6,0.4,14.3,260.0756279,13.9,4.813309369,0.4,1.117276224,10.20396685,7.011723133,0.641162242,52.76611505,0.787259502,0.787259502,0.787259502,5.551811746,1.428421745,6.980233491,5.544
38,1990/2/7,0.3,6.3,260.9479797,6,2.008657472,0.3,1.136305598,5.127648126,7.177923473,0.858238897,54.25276,0.916792186,0.916792186,0.916792186,6.608070711,1.775031083,8.383101794,5.4
39,1990/2/8,0.2,0,259.6468165,0,0,0.193146149,1.108017125,1.108017125,3.026732587,0.484405596,52.74912377,1.010425766,1.010425766,1.010425766,5.540794583,1.494831362,7.035625944,4.992
40,1990/2/9,0.1,5.9,260.4760037,5.8,1.955164979,0.1,1.125977711,4.970812732,2.523400546,0.242998281,51.43584922,0.915759341,0.915759341,0.915759341,4.752434438,1.158757622,5.91119206,4.44
41,1990/2/10,0.1,9.2,262.3137769,9.1,3.004397913,0.1,1.166624705,7.262226792,5.379065841,0.501819064,52.35931172,0.838414313,0.838414313,0.838414313,5.294017655,1.340233377,6.634251032,3.936
42,1990/2/11,0,6.1,263.1021813,6.1,1.97282646,0,1.184422066,5.311595607,5.765312278,0.656381172,53.18579882,0.892291455,0.892291455,0.892291455,5.831116624,1.548672627,7.379789251,3.552
43,1990/2/12,0.1,0.1,261.9438328,0,0,0.1,1.158348532,1.158348532,3.13949379,0.463002406,52.11989717,0.942568421,0.942568421,0.942568421,5.147963866,1.405570827,6.553534693,2.856
44,1990/2/13,0.1,0,260.7159219,0,0,0.096692772,1.131218126,1.131218126,1.031794466,0.164223724,50.00880648,0.878092785,0.878092785,0.878092785,4.020977936,1.042316509,5.063294445,2.4
45,1990/2/14,0,2.8,260.5248337,2.8,0.935954463,0,1.127042685,2.991088223,1.752928369,0.154265837,48.96532229,0.759784968,0.759784968,0.759784968,3.556197534,0.914050805,4.470248339,2.088
46,1990/2/15,0.2,10.6,262.7677284,10.4,3.419740251,0.2,1.176845532,8.157105281,4.733065467,0.390566861,50.26191987,0.705729292,0.705729292,0.705729292,4.14219718,1.096296153,5.238493333,1.992
47,1990/2/16,0.9,8.8,264.0859262,7.9,2.525134218,0.9,1.206936399,6.581802181,6.7189945,0.720203736,52.4215696,0.773329789,0.773329789,0.773329789,5.332674552,1.493533525,6.826208077,5.112
48,1990/2/17,0.9,7.2,264.841287,6.3,1.979818586,0.9,1.22445782,5.544639234,5.513840171,0.653994211,53.07524115,0.896010408,0.896010408,0.896010408,5.756179034,1.550004618,7.306183652,10.728
49,1990/2/18,0.5,4.9,264.9859591,4.4,1.372509137,0.5,1.227837015,4.255327878,4.480770059,0.538396303,52.87125771,0.93572859,0.93572859,0.93572859,5.620482089,1.474124893,7.094606981,12.84
50,1990/2/19,0.9,1.8,264.0621891,0.9,0.282619053,0.9,1.206389096,1.823770042,2.869089878,0.387366804,51.73944226,0.923201982,0.923201982,0.923201982,4.924107313,1.310568787,6.234676099,11.76
51,1990/2/20,0.8,0,262.1246667,0,0,0.77513422,1.162388089,1.162388089,1.380081907,0.196538115,49.97182906,0.855862667,0.855862667,0.855862667,4.003557768,1.052400782,5.05595855,9.864
52,1990/2/21,0.8,1.2,261.1163129,0.4,0.131653785,0.8,1.140007584,1.408353799,1.143329961,0.129438258,48.50511979,0.757820489,0.757820489,0.757820489,3.367859725,0.887258746,4.255118471,8.064
53,1990/2/22,0.9,0,259.1499661,0,0,0.868980293,1.097366587,1.097366587,1.144647772,0.13110829,47.38482802,0.682785859,0.682785859,0.682785859,2.947725392,0.813894149,3.761619541,6.984
54,1990/2/23,1.2,0.3,257.2261659,0,0,1.16689475,1.056905415,1.056905415,0.971643749,0.11251642,46.37460252,0.629166461,0.629166461,0.629166461,2.611035712,0.741682881,3.352718592,5.952
55,1990/2/24,1.4,0,254.8723081,0,0,1.344809441,1.009048343,1.009048343,0.932306586,0.105117316,45.53265427,0.583456771,0.583456771,0.583456771,2.357711608,0.688574086,3.046285694,5.256
