,isodate,precip,tmax,tmin,wind,pet,q,qsim
0,1986/1/1,0.109548383,6.900245599,-6.689077088,0.802659942,4.982696392,104.4785615,0.0
1,1986/1/2,0.035025622,9.163251395,-4.446106044,1.276787307,5.613827288,68.01639681,0.0
2,1986/1/3,0.001940387,9.040750314,-4.94150866,0.783543141,5.602994064,44.26938143,0.0
3,1986/1/4,0.508165933,9.646989868,-4.389903951,0.740919795,5.777585447,29.46220706,0.0
4,1986/1/5,0.175202965,6.911336151,-4.643093611,1.139571396,4.858279276,19.30686517,0.0
5,1986/1/6,0.105111104,6.529528218,-7.449335237,0.696234784,4.893679004,12.63860352,0.0
6,1986/1/7,0.010798221,7.117327267,-7.736318725,0.528057863,5.088001959,8.122618684,0.0
7,1986/1/8,0.009452738,7.417943106,-7.416057159,0.624991155,5.174594473,5.28300177,0.0
8,1986/1/9,0.0,6.915793449,-6.79277762,0.534291708,4.991022838,3.42744378,0.0
9,1986/1/10,0.010610574,6.230152826,-7.263897189,0.644866929,4.791102157,2.250660869,0.0
10,1986/1/11,0.000432693,7.613824759,-7.522288472,0.620968978,5.238975622,1.457203716,0.0
11,1986/1/12,0.005738817,8.372136864,-6.623949246,0.746770259,5.45619523,0.956770681,0.0
12,1986/1/13,0.073279443,8.528414313,-6.065185691,1.10205644,5.484930871,0.739865474,0.0
13,1986/1/14,0.004569175,9.382720846,-7.749762241,0.88287907,5.812599449,0.438821781,0.0
14,1986/1/15,0.046566335,10.29283992,-6.191923457,0.809183483,6.078808292,0.348571508,0.0
15,1986/1/16,0.941998795,9.528441241,-2.397246699,1.383768457,5.564199305,3.11751478,0.0
16,1986/1/17,0.010742724,9.848961539,-5.145087409,1.244594647,5.883788743,0.872997828,0.0
17,1986/1/18,0.0,9.790556706,-5.48859859,1.041743074,5.87929339,0.400169103,0.0
18,1986/1/19,0.0,10.80360494,-6.620186179,0.955311542,6.258650306,0.246370334,0.0
19,1986/1/20,0.00390548,10.85029294,-5.745260257,0.790997652,6.248457647,0.171679042,0.0
20,1986/1/21,0.0,11.24104621,-4.580975997,1.252688635,6.332967827,0.10666868,0.0
21,1986/1/22,0.029428853,11.52826834,-4.760644197,1.232856072,6.440789295,0.144093234,0.0
22,1986/1/23,0.005375973,11.90193665,-4.63900187,1.570521079,6.564920181,0.075389583,0.0
23,1986/1/24,0.000199614,11.6884083,-5.250582937,1.420260438,6.514119609,0.040504856,0.0
24,1986/1/25,0.046002451,11.06814279,-5.203677859,0.979762341,6.296016158,0.11406897,0.0
25,1986/1/26,0.429932317,11.68676315,-3.265723993,1.142740845,6.405963372,1.130990547,0.0
26,1986/1/27,0.753678185,11.56108719,-4.249899499,1.486328279,6.419615473,3.483192133,0.0
27,1986/1/28,0.040154762,11.4421724,-4.884215178,1.378764984,6.40724004,1.099510295,0.0
28,1986/1/29,0.067789909,12.35558993,-3.066316779,1.625858909,6.628896852,0.780967535,0.0
29,1986/1/30,0.068603088,12.1324454,-0.896983505,1.700034492,6.355450383,0.654001006,0.0
30,1986/1/31,0.566979022,11.29529262,-1.784269985,1.498252298,6.131450897,3.107013685,0.0
31,1986/2/1,0.509345727,10.12735149,-4.160905438,1.432836053,5.903201724,4.022888876,0.0
32,1986/2/2,0.384770619,9.73099318,-4.462317742,1.401754421,5.783020033,3.894692315,0.0
33,1986/2/3,0.021994867,9.848096458,-4.709636518,1.481789186,5.836291978,1.398494162,0.0
34,1986/2/4,0.179765947,10.76239549,-4.375177975,1.738528568,6.13183042,1.894024594,0.0
35,1986/2/5,0.042660351,11.48946587,-4.268683033,1.476759414,6.378339979,0.990904269,0.0
36,1986/2/6,0.285667653,12.01220377,-3.882116406,1.681779276,6.539635733,2.243954538,0.0
37,1986/2/7,0.177416702,11.51527067,-4.068346466,1.169200813,6.372011301,1.826040373,0.0
38,1986/2/8,0.182094764,11.46383617,-2.728743344,1.710864609,6.260700491,1.765556311,0.0
39,1986/2/9,0.0,11.23475681,-5.535420335,1.065723274,6.337197872,0.623834673,0.0
40,1986/2/10,0.418067108,10.88957928,-5.502944599,0.804183727,6.215666356,2.811461324,0.0
